median_house_value,median_income,housing_median_age,total_rooms,population,households,latitude,longitude,AveRooms,AveBedrms,AveOccup
452600.0,8.3252,41.0,880.0,322.0,126.0,37.88,-122.23,6.984126984126984,1.0238095238095237,2.5555555555555554
358500.0,8.3014,21.0,7099.0,2401.0,1138.0,37.86,-122.22,6.238137082601054,0.9718804920913884,2.109841827768014
352100.0,7.257399999999999,52.0,1467.0,496.0,177.0,37.85,-122.24,8.288135593220339,1.073446327683616,2.8022598870056497
341300.0,5.6431,52.0,1274.0,558.0,219.0,37.85,-122.25,5.8173515981735155,1.0730593607305936,2.547945205479452
342200.0,3.8462,52.0,1627.0,565.0,259.0,37.85,-122.25,6.281853281853282,1.0810810810810811,2.1814671814671813
269700.0,4.0368,52.0,919.0,413.0,193.0,37.85,-122.25,4.761658031088083,1.1036269430051813,2.139896373056995
299200.0,3.6591,52.0,2535.0,1094.0,514.0,37.84,-122.25,4.9319066147859925,0.9513618677042801,2.1284046692607004
241400.0,3.12,52.0,3104.0,1157.0,647.0,37.84,-122.25,4.797527047913447,1.061823802163833,1.7882534775888717
226700.0,2.0804,42.0,2555.0,1206.0,595.0,37.84,-122.26,4.294117647058823,1.1176470588235294,2.026890756302521
261100.0,3.6912,52.0,3549.0,1551.0,714.0,37.84,-122.25,4.970588235294118,0.9901960784313726,2.172268907563025
281500.0,3.2031,52.0,2202.0,910.0,402.0,37.85,-122.26,5.477611940298507,1.0796019900497513,2.263681592039801
241800.0,3.2705,52.0,3503.0,1504.0,734.0,37.85,-122.26,4.772479564032698,1.0245231607629428,2.0490463215258856
213500.0,3.075,52.0,2491.0,1098.0,468.0,37.85,-122.26,5.322649572649572,1.0128205128205128,2.3461538461538463
191300.0,2.6736,52.0,696.0,345.0,174.0,37.84,-122.26,4.0,1.0977011494252873,1.9827586206896552
159200.0,1.9167,52.0,2643.0,1212.0,620.0,37.85,-122.26,4.262903225806451,1.0096774193548388,1.9548387096774194
140000.0,2.125,50.0,1120.0,697.0,264.0,37.85,-122.26,4.242424242424242,1.071969696969697,2.640151515151515
152500.0,2.775,52.0,1966.0,793.0,331.0,37.85,-122.27,5.9395770392749245,1.0483383685800605,2.395770392749245
155500.0,2.1202,52.0,1228.0,648.0,303.0,37.85,-122.27,4.052805280528053,0.966996699669967,2.1386138613861387
158700.0,1.9911,50.0,2239.0,990.0,419.0,37.84,-122.26,5.343675417661098,1.0859188544152745,2.3627684964200477
162900.0,2.6033,52.0,1503.0,690.0,275.0,37.84,-122.27,5.465454545454546,1.0836363636363637,2.5090909090909093
147500.0,1.3578,40.0,751.0,409.0,166.0,37.85,-122.27,4.524096385542169,1.108433734939759,2.463855421686747
159800.0,1.7135,42.0,1639.0,929.0,366.0,37.85,-122.27,4.478142076502732,1.0027322404371584,2.5382513661202184
113900.0,1.725,52.0,2436.0,1015.0,478.0,37.84,-122.27,5.096234309623431,1.1317991631799162,2.1234309623430963
99700.0,2.1806,52.0,1688.0,853.0,325.0,37.84,-122.27,5.193846153846154,1.0369230769230768,2.624615384615385
132600.0,2.6,52.0,2224.0,1006.0,422.0,37.84,-122.27,5.270142180094787,1.0355450236966826,2.3838862559241707
107500.0,2.4038,41.0,535.0,317.0,119.0,37.85,-122.28,4.495798319327731,1.0336134453781514,2.6638655462184873
93800.0,2.4597,49.0,1130.0,607.0,239.0,37.85,-122.28,4.7280334728033475,1.0209205020920502,2.5397489539748954
105500.0,1.808,52.0,1898.0,1102.0,397.0,37.85,-122.28,4.7808564231738035,1.0604534005037782,2.7758186397984885
108900.0,1.6424,50.0,2082.0,1131.0,473.0,37.84,-122.28,4.40169133192389,1.040169133192389,2.3911205073995774
132000.0,1.6875,52.0,729.0,395.0,155.0,37.84,-122.28,4.703225806451613,1.032258064516129,2.5483870967741935
122300.0,1.9274,49.0,1916.0,863.0,378.0,37.84,-122.28,5.068783068783069,1.1825396825396826,2.2830687830687832
115200.0,1.9615,52.0,2153.0,1168.0,441.0,37.84,-122.28,4.882086167800454,1.090702947845805,2.6485260770975056
110400.0,1.7969,48.0,1922.0,1026.0,335.0,37.84,-122.27,5.737313432835821,1.2208955223880598,3.062686567164179
104900.0,1.375,49.0,1655.0,754.0,329.0,37.83,-122.27,5.0303951367781155,1.1124620060790273,2.291793313069909
109700.0,2.7303,51.0,2665.0,1258.0,536.0,37.83,-122.27,4.972014925373134,1.0708955223880596,2.3470149253731343
97200.0,1.4861,49.0,1215.0,570.0,264.0,37.83,-122.27,4.6022727272727275,1.0681818181818181,2.159090909090909
104500.0,1.0972,48.0,1798.0,987.0,374.0,37.83,-122.27,4.807486631016043,1.1550802139037433,2.6390374331550803
103900.0,1.4103,52.0,1511.0,901.0,403.0,37.83,-122.28,3.7493796526054592,0.967741935483871,2.235732009925558
191400.0,3.48,52.0,1470.0,689.0,309.0,37.83,-122.26,4.757281553398058,1.0679611650485437,2.2297734627831716
176000.0,2.5898,52.0,2432.0,1377.0,696.0,37.83,-122.26,3.4942528735632186,1.0272988505747127,1.978448275862069
155400.0,2.0978,52.0,1665.0,946.0,395.0,37.83,-122.26,4.215189873417722,1.0607594936708862,2.3949367088607594
